"key","EN","UK","RU","ES","IT","DE","KO","NL","FR","PT","ZH_TW","ZH","PL","CS"
"sidebar.drop_hint","You can drag files here","Можна перетягнути файли сюди","Можно перетащить файлы сюда","Puedes arrastrar archivos aquí","Puoi trascinare i file qui","Dateien hierher ziehen","여기로 파일을 끌어 놓을 수 있습니다","Je kunt bestanden hierheen slepen","Vous pouvez glisser les fichiers ici","Você pode arrastar arquivos aqui","可將檔案拖曳到這裡","可以将文件拖到这里","Możesz przeciągnąć pliki tutaj","Sem můžete přetáhnout soubory"
"workflow.title","Video processing scheme","Схема обробки відео","Схема обработки видео","Esquema de procesamiento de video","Schema di elaborazione video","Videoverarbeitungsschema","비디오 처리 구성","Videobewerkingsschema","Schéma de traitement vidéo","Esquema de processamento de vídeo","影片處理方案","视频处理方案","Schemat przetwarzania wideo","Schéma zpracování videa"
"workflow.subtitle","One settings flow instead of technical presets. Choose a scheme, adjust parameters, and start processing.","Один потік налаштувань замість технічних пресетів. Виберіть схему, змініть параметри й запустіть обробку.","Один поток настроек вместо набора технических пресетов. Выберите схему, измените параметры и запустите обработку.","Un flujo de ajustes en lugar de presets técnicos. Elige un esquema, ajusta parámetros e inicia el proceso.","Un unico flusso di impostazioni invece di preset tecnici. Scegli uno schema, modifica i parametri e avvia.","Ein Einstellungsablauf statt technischer Presets. Schema wählen, Parameter anpassen und starten.","기술 프리셋 대신 하나의 설정 흐름입니다. 구성을 선택하고 값을 조정한 뒤 시작하세요.","Een instellingenstroom in plaats van technische presets. Kies een schema, pas parameters aan en start.","Un flux de réglages au lieu de préréglages techniques. Choisissez un schéma, ajustez et lancez.","Um fluxo de configurações em vez de predefinições técnicas. Escolha um esquema, ajuste e inicie.","用一套設定流程取代技術預設。選擇方案、調整參數後開始處理。","用一套设置流程代替技术预设。选择方案、调整参数后开始处理。","Jeden przepływ ustawień zamiast technicznych presetów. Wybierz schemat, zmień parametry i uruchom.","Jeden tok nastavení místo technických presetů. Vyberte schéma, upravte parametry a spusťte."
"workflow.scheme_label","Scheme","Схема","Схема","Esquema","Schema","Schema","구성","Schema","Schéma","Esquema","方案","方案","Schemat","Schéma"
"workflow.load_scheme","Load","Завантажити","Загрузить","Cargar","Carica","Laden","불러오기","Laden","Charger","Carregar","載入","加载","Wczytaj","Načíst"
"workflow.save_scheme","Save scheme","Зберегти схему","Сохранить схему","Guardar esquema","Salva schema","Schema speichern","구성 저장","Schema opslaan","Enregistrer le schéma","Salvar esquema","儲存方案","保存方案","Zapisz schemat","Uložit schéma"
"workflow.delete_scheme","Delete scheme","Видалити схему","Удалить схему","Eliminar esquema","Elimina schema","Schema löschen","구성 삭제","Schema verwijderen","Supprimer le schéma","Excluir esquema","刪除方案","删除方案","Usuń schemat","Smazat schéma"
"workflow.reset_scheme","Reset","Скинути","Сбросить","Restablecer","Reimposta","Zurücksetzen","초기화","Resetten","Réinitialiser","Redefinir","重設","重置","Resetuj","Resetovat"
"workflow.run","Start processing","Запустити обробку","Запустить обработку","Iniciar procesamiento","Avvia elaborazione","Verarbeitung starten","처리 시작","Verwerking starten","Lancer le traitement","Iniciar processamento","開始處理","开始处理","Rozpocznij przetwarzanie","Spustit zpracování"
"workflow.save_prompt_title","Save scheme","Зберегти схему","Сохранить схему","Guardar esquema","Salva schema","Schema speichern","구성 저장","Schema opslaan","Enregistrer le schéma","Salvar esquema","儲存方案","保存方案","Zapisz schemat","Uložit schéma"
"workflow.save_prompt","Scheme name:","Назва схеми:","Название схемы:","Nombre del esquema:","Nome schema:","Schemaname:","구성 이름:","Schemanaam:","Nom du schéma :","Nome do esquema:","方案名稱：","方案名称：","Nazwa schematu:","Název schématu:"
"workflow.save_name_conflict","This name is used by a built-in scheme. Choose another name.","Ця назва зайнята вбудованою схемою. Виберіть іншу назву.","Такое имя занято встроенной схемой. Выберите другое название.","Ese nombre pertenece a un esquema integrado. Elige otro.","Questo nome è usato da uno schema integrato. Scegline un altro.","Dieser Name gehört zu einem integrierten Schema. Bitte einen anderen wählen.","이 이름은 기본 구성에서 사용 중입니다. 다른 이름을 선택하세요.","Deze naam hoort bij een ingebouwd schema. Kies een andere naam.","Ce nom est utilisé par un schéma intégré. Choisissez-en un autre.","Esse nome é usado por um esquema interno. Escolha outro.","此名稱已被內建方案使用，請選擇其他名稱。","此名称已被内置方案使用，请选择其他名称。","Ta nazwa jest używana przez wbudowany schemat. Wybierz inną.","Tento název používá vestavěné schéma. Zvolte jiný."
"workflow.delete_title","Delete scheme","Видалити схему","Удалить схему","Eliminar esquema","Elimina schema","Schema löschen","구성 삭제","Schema verwijderen","Supprimer le schéma","Excluir esquema","刪除方案","删除方案","Usuń schemat","Smazat schéma"
"workflow.delete_builtin","Built-in schemes cannot be deleted.","Вбудовану схему не можна видалити.","Встроенную схему удалить нельзя.","No se pueden eliminar los esquemas integrados.","Gli schemi integrati non possono essere eliminati.","Integrierte Schemas können nicht gelöscht werden.","기본 구성은 삭제할 수 없습니다.","Ingebouwde schema's kunnen niet worden verwijderd.","Les schémas intégrés ne peuvent pas être supprimés.","Esquemas internos não podem ser excluídos.","無法刪除內建方案。","无法删除内置方案。","Nie można usunąć wbudowanych schematów.","Vestavěná schémata nelze smazat."
"workflow.delete_confirm","Delete saved scheme '{name}'?","Видалити збережену схему '{name}'?","Удалить сохраненную схему '{name}'?","¿Eliminar el esquema guardado '{name}'?","Eliminare lo schema salvato '{name}'?","Gespeichertes Schema '{name}' löschen?","저장된 구성 '{name}'을 삭제할까요?","Opgeslagen schema '{name}' verwijderen?","Supprimer le schéma enregistré '{name}' ?","Excluir o esquema salvo '{name}'?","刪除已儲存的方案 '{name}'？","删除已保存的方案 '{name}'？","Usunąć zapisany schemat '{name}'?","Smazat uložené schéma '{name}'?"
"workflow.no_files_title","No files","Немає файлів","Нет файлов","Sin archivos","Nessun file","Keine Dateien","파일 없음","Geen bestanden","Aucun fichier","Sem arquivos","沒有檔案","没有文件","Brak plików","Žádné soubory"
"workflow.no_files","Add video files to the queue before starting.","Додайте відеофайли в чергу перед запуском.","Добавьте видеофайлы в очередь перед запуском.","Agrega videos a la cola antes de iniciar.","Aggiungi video alla coda prima di avviare.","Fügen Sie vor dem Start Videodateien zur Warteschlange hinzu.","시작 전에 비디오 파일을 대기열에 추가하세요.","Voeg videobestanden toe aan de wachtrij voordat je start.","Ajoutez des vidéos à la file avant de lancer.","Adicione vídeos à fila antes de iniciar.","開始前請先將影片加入佇列。","开始前请先将视频加入队列。","Dodaj pliki wideo do kolejki przed uruchomieniem.","Před spuštěním přidejte videa do fronty."
"workflow.no_commands_title","No commands","Немає команд","Нет команд","Sin comandos","Nessun comando","Keine Befehle","명령 없음","Geen opdrachten","Aucune commande","Sem comandos","沒有命令","没有命令","Brak poleceń","Žádné příkazy"
"workflow.no_commands","Could not build processing commands. Check the scheme parameters.","Не вдалося зібрати команди обробки. Перевірте параметри схеми.","Не удалось собрать команды обработки. Проверьте параметры схемы.","No se pudieron crear los comandos. Revisa los parámetros.","Impossibile creare i comandi. Controlla i parametri.","Befehle konnten nicht erstellt werden. Prüfen Sie die Parameter.","처리 명령을 만들 수 없습니다. 구성 값을 확인하세요.","Kon verwerkingsopdrachten niet maken. Controleer de parameters.","Impossible de créer les commandes. Vérifiez les paramètres.","Não foi possível montar os comandos. Verifique os parâmetros.","無法建立處理命令，請檢查方案參數。","无法建立处理命令，请检查方案参数。","Nie udało się zbudować poleceń. Sprawdź parametry.","Nepodařilo se sestavit příkazy. Zkontrolujte parametry."
"crop.preview_title","Visual crop check","Візуальна перевірка обрізки","Визуальная проверка обрезки","Revisión visual del recorte","Controllo visivo ritaglio","Visuelle Zuschnittprüfung","시각적 자르기 확인","Visuele bijsnijcontrole","Contrôle visuel du recadrage","Verificação visual do corte","視覺裁切檢查","可视化裁剪检查","Wizualna kontrola kadru","Vizuální kontrola ořezu"
"crop.preview_random_frame","Another frame","Інший кадр","Другой кадр","Otro fotograma","Altro fotogramma","Anderer Frame","다른 프레임","Ander frame","Autre image","Outro quadro","其他影格","其他帧","Inna klatka","Jiný snímek"
"crop.preview_no_file","Add a video to see the real frame proportions. A 1920x1080 example is used for now.","Додайте відео, щоб побачити реальні пропорції кадру. Поки використовується приклад 1920x1080.","Добавьте видео, чтобы увидеть пропорции реального кадра. Пока используется пример 1920x1080.","Agrega un video para ver las proporciones reales. Por ahora se usa 1920x1080.","Aggiungi un video per vedere le proporzioni reali. Per ora si usa 1920x1080.","Fügen Sie ein Video hinzu, um echte Proportionen zu sehen. Aktuell wird 1920x1080 genutzt.","실제 프레임 비율을 보려면 비디오를 추가하세요. 지금은 1920x1080 예시를 사용합니다.","Voeg een video toe om echte verhoudingen te zien. Nu wordt 1920x1080 gebruikt.","Ajoutez une vidéo pour voir les proportions réelles. 1920x1080 est utilisé pour l'instant.","Adicione um vídeo para ver as proporções reais. Por enquanto usa 1920x1080.","加入影片即可查看實際影格比例。目前使用 1920x1080 範例。","添加视频即可查看实际画面比例。目前使用 1920x1080 示例。","Dodaj wideo, aby zobaczyć prawdziwe proporcje. Teraz użyto 1920x1080.","Přidejte video pro skutečné proporce. Zatím se používá 1920x1080."
"crop.preview_info","Source: {source_w}x{source_h}. After crop: {crop_w}x{crop_h}. Removed: left {left}, right {right}, top {top}, bottom {bottom}.","Джерело: {source_w}x{source_h}. Після обрізки: {crop_w}x{crop_h}. Видаляється: зліва {left}, справа {right}, зверху {top}, знизу {bottom}.","Исходник: {source_w}x{source_h}. После обрезки: {crop_w}x{crop_h}. Удаляется: слева {left}, справа {right}, сверху {top}, снизу {bottom}.","Origen: {source_w}x{source_h}. Tras recorte: {crop_w}x{crop_h}. Quita: izquierda {left}, derecha {right}, arriba {top}, abajo {bottom}.","Sorgente: {source_w}x{source_h}. Dopo ritaglio: {crop_w}x{crop_h}. Rimosso: sinistra {left}, destra {right}, alto {top}, basso {bottom}.","Quelle: {source_w}x{source_h}. Nach Zuschnitt: {crop_w}x{crop_h}. Entfernt: links {left}, rechts {right}, oben {top}, unten {bottom}.","원본: {source_w}x{source_h}. 자른 후: {crop_w}x{crop_h}. 제거: 왼쪽 {left}, 오른쪽 {right}, 위 {top}, 아래 {bottom}.","Bron: {source_w}x{source_h}. Na bijsnijden: {crop_w}x{crop_h}. Verwijderd: links {left}, rechts {right}, boven {top}, onder {bottom}.","Source : {source_w}x{source_h}. Après recadrage : {crop_w}x{crop_h}. Retiré : gauche {left}, droite {right}, haut {top}, bas {bottom}.","Origem: {source_w}x{source_h}. Após corte: {crop_w}x{crop_h}. Removido: esquerda {left}, direita {right}, topo {top}, baixo {bottom}.","來源：{source_w}x{source_h}。裁切後：{crop_w}x{crop_h}。移除：左 {left}、右 {right}、上 {top}、下 {bottom}。","源：{source_w}x{source_h}。裁剪后：{crop_w}x{crop_h}。移除：左 {left}、右 {right}、上 {top}、下 {bottom}。","Źródło: {source_w}x{source_h}. Po przycięciu: {crop_w}x{crop_h}. Usunięto: lewo {left}, prawo {right}, góra {top}, dół {bottom}.","Zdroj: {source_w}x{source_h}. Po ořezu: {crop_w}x{crop_h}. Odstraněno: vlevo {left}, vpravo {right}, nahoře {top}, dole {bottom}."
"trim.preview_title","Visual time trim","Візуальна обрізка за часом","Визуальная обрезка по времени","Recorte temporal visual","Taglio temporale visivo","Visueller Zeit-Schnitt","시각적 시간 자르기","Visueel knippen op tijd","Coupe temporelle visuelle","Corte visual por tempo","視覺時間剪裁","可视化时间裁剪","Wizualne przycinanie czasu","Vizuální časový střih"
"trim.preview_no_file","Add a video to use its real duration. A 60 second example is used for now.","Додайте відео, щоб використати його реальну тривалість. Поки використовується приклад 60 секунд.","Добавьте видео, чтобы использовать его реальную длительность. Пока используется пример 60 секунд.","Agrega un video para usar su duración real. Por ahora se usa un ejemplo de 60 segundos.","Aggiungi un video per usare la durata reale. Per ora si usa un esempio di 60 secondi.","Fügen Sie ein Video hinzu, um seine echte Dauer zu nutzen. Aktuell wird ein 60-Sekunden-Beispiel verwendet.","실제 길이를 사용하려면 비디오를 추가하세요. 지금은 60초 예시를 사용합니다.","Voeg een video toe om de echte duur te gebruiken. Nu wordt een voorbeeld van 60 seconden gebruikt.","Ajoutez une vidéo pour utiliser sa durée réelle. Un exemple de 60 secondes est utilisé pour l'instant.","Adicione um vídeo para usar a duração real. Por enquanto usa um exemplo de 60 segundos.","加入影片即可使用實際長度。目前使用 60 秒範例。","添加视频即可使用实际时长。目前使用 60 秒示例。","Dodaj wideo, aby użyć prawdziwej długości. Teraz użyto przykładu 60 sekund.","Přidejte video pro skutečnou délku. Zatím se používá příklad 60 sekund."
"trim.preview_info","Trimmed: start {start_seconds}s ({start_frames} frames), end {end_seconds}s ({end_frames} frames). Kept: {keep_seconds}s.","Обрізано: початок {start_seconds}с ({start_frames} кадрів), кінець {end_seconds}с ({end_frames} кадрів). Залишається: {keep_seconds}с.","Обрезано: начало {start_seconds}с ({start_frames} кадров), конец {end_seconds}с ({end_frames} кадров). Остается: {keep_seconds}с.","Recorte: inicio {start_seconds}s ({start_frames} fotogramas), final {end_seconds}s ({end_frames} fotogramas). Queda: {keep_seconds}s.","Taglio: inizio {start_seconds}s ({start_frames} fotogrammi), fine {end_seconds}s ({end_frames} fotogrammi). Resta: {keep_seconds}s.","Schnitt: Anfang {start_seconds}s ({start_frames} Frames), Ende {end_seconds}s ({end_frames} Frames). Übrig: {keep_seconds}s.","자름: 시작 {start_seconds}초({start_frames}프레임), 끝 {end_seconds}초({end_frames}프레임). 남음: {keep_seconds}초.","Geknipt: begin {start_seconds}s ({start_frames} frames), einde {end_seconds}s ({end_frames} frames). Over: {keep_seconds}s.","Coupé : début {start_seconds}s ({start_frames} images), fin {end_seconds}s ({end_frames} images). Gardé : {keep_seconds}s.","Cortado: início {start_seconds}s ({start_frames} quadros), fim {end_seconds}s ({end_frames} quadros). Mantido: {keep_seconds}s.","剪裁：開頭 {start_seconds} 秒（{start_frames} 影格），結尾 {end_seconds} 秒（{end_frames} 影格）。保留：{keep_seconds} 秒。","裁剪：开头 {start_seconds} 秒（{start_frames} 帧），结尾 {end_seconds} 秒（{end_frames} 帧）。保留：{keep_seconds} 秒。","Przycięto: początek {start_seconds}s ({start_frames} klatek), koniec {end_seconds}s ({end_frames} klatek). Zostaje: {keep_seconds}s.","Oříznuto: začátek {start_seconds}s ({start_frames} snímků), konec {end_seconds}s ({end_frames} snímků). Zůstává: {keep_seconds}s."
"console.processing","Processing...","Обробка...","Обработка...","Procesando...","Elaborazione...","Verarbeitung...","처리 중...","Verwerken...","Traitement...","Processando...","處理中...","处理中...","Przetwarzanie...","Zpracování..."
"console.stop","Stop","Зупинити","Остановить","Detener","Ferma","Stoppen","중지","Stoppen","Arrêter","Parar","停止","停止","Stop","Zastavit"
"console.close_stop","Close / stop","Закрити / зупинити","Закрыть / остановить","Cerrar / detener","Chiudi / ferma","Schließen / stoppen","닫기 / 중지","Sluiten / stoppen","Fermer / arrêter","Fechar / parar","關閉 / 停止","关闭 / 停止","Zamknij / stop","Zavřít / zastavit"
"console.done","\n[DONE] All tasks completed.\n","\n[DONE] Усі задачі завершено.\n","\n[DONE] Все задачи завершены.\n","\n[DONE] Todas las tareas terminaron.\n","\n[DONE] Tutte le attività sono completate.\n","\n[DONE] Alle Aufgaben abgeschlossen.\n","\n[DONE] 모든 작업이 완료되었습니다.\n","\n[DONE] Alle taken zijn voltooid.\n","\n[DONE] Toutes les tâches sont terminées.\n","\n[DONE] Todas as tarefas foram concluídas.\n","\n[DONE] 所有工作已完成。\n","\n[DONE] 所有任务已完成。\n","\n[DONE] Wszystkie zadania zakończone.\n","\n[DONE] Všechny úlohy dokončeny.\n"
"console.finished","\n[FINISHED] Tasks ended with errors or were stopped.\n","\n[FINISHED] Задачі завершилися з помилками або були зупинені.\n","\n[FINISHED] Задачи завершились с ошибками или были остановлены.\n","\n[FINISHED] Las tareas terminaron con errores o se detuvieron.\n","\n[FINISHED] Le attività sono finite con errori o sono state fermate.\n","\n[FINISHED] Aufgaben endeten mit Fehlern oder wurden gestoppt.\n","\n[FINISHED] 작업이 오류로 끝났거나 중지되었습니다.\n","\n[FINISHED] Taken eindigden met fouten of zijn gestopt.\n","\n[FINISHED] Les tâches ont fini avec des erreurs ou ont été arrêtées.\n","\n[FINISHED] As tarefas terminaram com erros ou foram paradas.\n","\n[FINISHED] 工作因錯誤結束或已停止。\n","\n[FINISHED] 任务因错误结束或已停止。\n","\n[FINISHED] Zadania zakończyły się błędami albo zostały zatrzymane.\n","\n[FINISHED] Úlohy skončily chybou nebo byly zastaveny.\n"
"console.stopped","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n","\n[STOPPED BY USER]\n"
"console.close_app","Close application","Закрити застосунок","Закрыть приложение","Cerrar aplicación","Chiudi applicazione","Anwendung schließen","앱 닫기","Applicatie sluiten","Fermer l'application","Fechar aplicativo","關閉應用程式","关闭应用程序","Zamknij aplikację","Zavřít aplikaci"
"console.close_view","Close window","Закрити вікно","Закрыть окно","Cerrar ventana","Chiudi finestra","Fenster schließen","창 닫기","Venster sluiten","Fermer la fenêtre","Fechar janela","關閉視窗","关闭窗口","Zamknij okno","Zavřít okno"
"scheme.mp4_send","MP4 for sharing","MP4 для надсилання","MP4 для отправки","MP4 para compartir","MP4 per invio","MP4 zum Teilen","공유용 MP4","MP4 om te delen","MP4 pour partager","MP4 para envio","分享用 MP4","分享用 MP4","MP4 do wysyłki","MP4 pro sdílení"
"scheme.small_file","Small file","Малий файл","Маленький файл","Archivo pequeño","File piccolo","Kleine Datei","작은 파일","Klein bestand","Petit fichier","Arquivo pequeno","小檔案","小文件","Mały plik","Malý soubor"
"scheme.high_quality","High quality","Висока якість","Высокое качество","Alta calidad","Alta qualità","Hohe Qualität","고품질","Hoge kwaliteit","Haute qualité","Alta qualidade","高品質","高质量","Wysoka jakość","Vysoká kvalita"
"scheme.speed_4x_sound","Speed up 4x with sound","Прискорити 4x зі звуком","Ускорить 4x со звуком","Acelerar 4x con sonido","Accelera 4x con audio","4x schneller mit Ton","소리 포함 4x 가속","4x versnellen met geluid","Accélérer 4x avec son","Acelerar 4x com som","含聲音加速 4x","含声音加速 4x","Przyspiesz 4x z dźwiękiem","Zrychlit 4x se zvukem"
"scheme.speed_10x_mute","Speed up 10x muted","Прискорити 10x без звуку","Ускорить 10x без звука","Acelerar 10x sin sonido","Accelera 10x senza audio","10x schneller ohne Ton","무음 10x 가속","10x versnellen zonder geluid","Accélérer 10x sans son","Acelerar 10x sem som","靜音加速 10x","静音加速 10x","Przyspiesz 10x bez dźwięku","Zrychlit 10x bez zvuku"
"scheme.square_webgl","Square for WebGL","Квадрат для WebGL","Квадрат для WebGL","Cuadrado para WebGL","Quadrato per WebGL","Quadrat für WebGL","WebGL용 정사각형","Vierkant voor WebGL","Carré pour WebGL","Quadrado para WebGL","WebGL 方形","WebGL 方形","Kwadrat dla WebGL","Čtverec pro WebGL"
"scheme.mov_edit","MOV for editing","MOV для монтажу","MOV для монтажа","MOV para edición","MOV per montaggio","MOV für Schnitt","편집용 MOV","MOV voor montage","MOV pour montage","MOV para edição","剪輯用 MOV","剪辑用 MOV","MOV do montażu","MOV pro střih"
"option.output_container.mp4","MP4: for sharing and viewing","MP4: для надсилання та перегляду","MP4: для отправки и просмотра","MP4: para compartir y ver","MP4: per invio e visione","MP4: zum Teilen und Ansehen","MP4: 공유 및 보기용","MP4: delen en bekijken","MP4 : partage et lecture","MP4: envio e visualização","MP4：分享與觀看","MP4：分享与观看","MP4: wysyłka i oglądanie","MP4: sdílení a přehrávání"
"option.output_container.mov","MOV: for editing and iPhone","MOV: для монтажу та iPhone","MOV: для монтажа и iPhone","MOV: para edición e iPhone","MOV: per montaggio e iPhone","MOV: für Schnitt und iPhone","MOV: 편집 및 iPhone용","MOV: montage en iPhone","MOV : montage et iPhone","MOV: edição e iPhone","MOV：剪輯與 iPhone","MOV：剪辑与 iPhone","MOV: montaż i iPhone","MOV: střih a iPhone"
"option.resolution_mode.original","Keep source size","Залишити вихідний розмір","Оставить исходный размер","Mantener tamaño original","Mantieni dimensione originale","Originalgröße behalten","원본 크기 유지","Bronformaat behouden","Conserver la taille source","Manter tamanho original","保留來源尺寸","保留源尺寸","Zachowaj rozmiar źródła","Ponechat původní velikost"
"option.resolution_mode.fit_1080","Set height to 1080p","Зробити висоту 1080p","Сделать высоту 1080p","Altura 1080p","Imposta altezza 1080p","Höhe auf 1080p setzen","높이 1080p로 설정","Hoogte 1080p maken","Hauteur 1080p","Definir altura 1080p","高度設為 1080p","高度设为 1080p","Ustaw wysokość 1080p","Nastavit výšku 1080p"
